NAME,DINING TIME,RATING,REVIEW
Blerim,"Dined on November 24, 2024",5,"First visit, awesome experience. Chef Diego, our Server, our Somm and the rest of the crew were great. Food was incredible, can’t wait to come back soon. Thank you for an amazing time."
Soni,"Dined on November 23, 2024",5,Excellent food & service.
Maya,"Dined on November 23, 2024",5,Amazing!!!! I love it there. Definitely my fav dinner spot
Piers,"Dined on November 20, 2024",4,Fabulous range of typically Spanish dishes. Good advice on the wine list.
Sandrine,"Dined on November 18, 2024",5,Great experience Excelent food Excelent service Recommended highly the place
Sharon,"Dined on November 18, 2024",5,Wonderful food and service! Like a mini trip to Spain.
christopher,"Dined on November 18, 2024",5,Encyclopedic Spanish wine list. Very experienced server.  Menu very focused menu with mostly seafood items.
Coni,"Dined on November 18, 2024",5,"The food, service and ambience were stellar, the bathroom was disgusting. Really disgusting."
John,"Dined on November 16, 2024",5,Everything was great. Food and service were excellent. Will definitely be back.
Lindsay,"Dined on November 16, 2024",5,"The sommelier was great! After we decided on food, she created a complementary set of pairings based on our preferences.  I appreciated how well everything was coursed. The goat was our favorite dish!  And the bread pudding was a fantastic end."
Andres,"Dined on November 15, 2024",4,"Good food and a great ambiance made for a nice evening, but the service fell short. After taking our order and bringing the wine bottle, the waiter never returned to pour more or check on us. No one asked how our food was or if we needed anything else until dessert."
Lei,"Dined on November 15, 2024",5,"Outstanding food and service. Cozy atmosphere; We were there for a special occasion, Definitely will go back."
OpenTable Diner,"Dined on November 15, 2024",5,Genuinely excellent seafood dishes. Ambiance was wonderful. Would go back in a heartbeat for a special occasion
Toni,"Dined on November 15, 2024",5,Food was delicious. Wine was great!  The vibe of the restaurant was cozy but festive. My favorite was the crudo and skirt steak. My husband’s favorite was the scallops and the burrata and squash. All was delicious. The service was attentive and fast but not rushing. Overall would totally recommend.
Alexandria,"Dined on November 14, 2024",5,Have been going here since it opened and it remains consistently excellent. Casa Mono salad is one of my favourite things!
Raúl,"Dined on November 13, 2024",5,Nothing short of outstanding meal and the service was impeccable.
Francisco,"Dined on November 13, 2024",4,"Excellent wine and atmosphere, food was a bit gimmicky. Croquettas were delicious, but the steak dish is terrible value for money, 1/4 steak 3/4 onion. The kitchen is obviously excellent, I just wish they would do one or two dishes a bit more traditionally."
Marieke,"Dined on November 12, 2024",3,"I was not convinced ! It’s definitely overrated and overpriced in my opinion. Yes, definitely some flavourful dishes, but you’ll find them in a regular restaurant in Spain for 1/4 of the price. The razor clams were tasty but had a lot of sand in them. We liked the burata but didn’t find it very special compared to other places serving this. We also liked the fluke crudo even though it was very small. Didn’t like the goat with avocado dish. The patatas bravas were very greasy and totally drenched in sauce. The bread pudding dessert wasn’t very convincing. The pulpo that we ordered never arrived (not sure if we paid for it: didn’t check). Overall I felt quite sick after the meal; probably from the greasy patatoes. Having dined in Michelin restaurants before, this one is definitely not worth a star. It’s a nice neighbourhood hang though and worth a try if you’re not able to go to Spain to get the same food for much less."
OpenTable Diner,"Dined on November 11, 2024",5,You made my day Foods + wines + services Best place in NY
Cheryl,"Dined on November 11, 2024",5,My husband and I love Casa Mono and Bar Jamon. Food is consistently delicious and service consistently warm and hospitable. Deepest Spanish wine list in NYC. Excellent and friendly somm’s will always help you pick a great bottle. Truly our favorite restaurant in NYC!
Aleksandra,"Dined on November 10, 2024",4,"Amazing food, lovely place, but offering outside tables in November without heaters or even a blanket is not very customer friendly"
Mark,"Dined on November 9, 2024",4,"Had high expectations with the Michelin rating, and the definitely delivered. We had outside seating which was nice, but next time I would take the high top inside… the inside just had a more intimate feel. Best dish was the foie gras, a close second was the sous vide lamb, definitely get the desert. Great wine selection, even just the glass selections."
EdithL,"Dined on November 6, 2024",5,Great food !! Would come over again. The pork belly was exceptional
fred,"Dined on November 5, 2024",5,Wonderful.  Small venue. Great food and wine. Pre dinner bar is cool as well.
Rodrigo,"Dined on November 5, 2024",5,"Foo ñd was great, but the service was one of a kind."
Ahmad,"Dined on November 3, 2024",4,"The time for our dinner reservation was booked at 6:30 but we didn’t get table till 40 minutes after. We had to wait outside because bar was also full. Food was fair and I developed stomach pain at night, might be due to mushroom. Not a very good experience overall. Service was scrappy to say the least."
Joanne,"Dined on November 3, 2024",5,Excellent dishes one after the next.  Tiny spot but fun atmosphere.
Dan,"Dined on November 3, 2024",5,Wonderful as always. Only downside: seated outside and they no longer have heated outdoor structures. Got pretty chilly!
Jessie,"Dined on November 2, 2024",2,"Food is mediocre, not deserve the Michelin one star. we spent 90$ each person, but not even full after the meal"
Amy,"Dined on November 2, 2024",4,We love Casa Mono and continue to return! The restaurant always feels so cozy and warm and delicious. The combination of their deep red Spanish wine and their unique food is such a winner. I do find them quite expensive (like a lot of places in NYC right now ) considering the size of each small dish. But I still go back for their outstanding food combinations and flavors when I can!
OpenTable Diner,"Dined on November 1, 2024",5,Casa Mono is my favorite restaurant in NYC. It never fails to surprise the palette and inspire the soul.
Kenneth,"Dined on October 25, 2024",5,A fantastic experience all around with exceptional food and service.
Francesca,"Dined on October 23, 2024",5,"We had an unforgettable dining experience where we put our full trust in the team to select our food and wine, and they exceeded every expectation. Andrew curated a mix of all-star dishes, alongside some underrated gems that completely blew us away. His recommendations were flawless, and his presence throughout the meal was the perfect balance of attentive and unobtrusive.  To elevate the evening even further, Juan Pablo’s wine and sherry pairings were spot-on, bringing out the best in each dish. His charm was contagious, adding a delightful energy to the meal. This was truly a standout experience from start to finish."
Review,"Dined on October 23, 2024",3,"Service was poor, and the food was disappointing compared to last year’s visit."
Barbara,"Dined on October 22, 2024",5,"Really incredible food. The burrata was one of the best dishes I’ve ever had the experience of enjoying. Also enjoyed the octopus, and skirt steak plates. Hope to return!"
GGSmith,"Dined on October 18, 2024",5,Amazing flavorful delicious meal. Great wine pairing suggestion from our server. Love the ambiance.
Wayne,"Dined on October 18, 2024",4,Would have been even better if we didn’t intially sit outdoors (but their outdoor heaters were delayed )
Luis,"Dined on October 17, 2024",5,An amazing establishment. The excellent selections of food & wines are never ending and constantly refreshed. A well deserved Michelin Star and superb service by the staff. A must when we visit NYC.
Gretchen,"Dined on October 17, 2024",4,Team - both wait staff and chef - showed great care managing some dietary limitations.
Jenna,"Dined on October 16, 2024",5,"We had a fantastic dinner here. Definitely listen to their recommendations, we were sceptical about the goat but it was 3/4's favourite dish. The waitstaff were very welcoming, and given how rich and luxurious everything tasted, the price was very reasonable."
Leslie,"Dined on October 15, 2024",2,Food was great but the host really soured our experience from the jump. I much prefer Bar Jamon—you can tell they're trying to rush you and get as much turnover as possible at Casa Mono.
Ermina,"Dined on October 14, 2024",5,So delicious- incredible food and service. A true gem.
Yennifer,"Dined on October 13, 2024",5,"Food was great, service could be a little better but would recommend 100%."
Andrew,"Dined on October 13, 2024",4,"food was very good, service was so so, waited a very long time for the menus and service was inattentive but it was busy so i understand."
William,"Dined on October 12, 2024",5,"Our favorite place, food, service, wine. Everything we like."
Kimberly,"Dined on October 11, 2024",5,"Amazing food and wine, great service and ambiance."
Fermanda,"Dined on October 10, 2024",5,"Los platos y la atención, simplemente, espectaculares."
Rodrigo,"Dined on October 8, 2024",5,The best in town. Unquestionable!!!!!!!!!!!!!!!!!!
John,"Dined on October 7, 2024",4,Definitely a delicious spot for a tapas meal. Very eclectic clientele. Equally delightful menu.
Matthew,"Dined on October 4, 2024",5,Wonderful dining experience.  The food was delicious.  The service was absolutely outstanding!
suzanne,"Dined on October 3, 2024",5,"Inventive menu w/beautiful meat and fish dishes  but not lots for vegetarians…a great salad and burrata plate that is magnificent is on offer. Excellent wines as well. Small, intimate, good ambiance."
Kipp,"Dined on September 30, 2024",5,Great meal from start to finish. Sitting at the bar facing the kitchen was a fun experience. The Crispy Pig Ears were delicious and the glass of wine paired well with dinner. 10/10
Damon,"Dined on September 30, 2024",5,Great restaurant and service. A bit hard to find but the restaurant provides all of the direction detail prior to the reservation
Hector,"Dined on September 28, 2024",5,Comida exquisita. El cordero sobre todo y la ensalada con manchego
MaClayn,"Dined on September 27, 2024",5,Absolutely fantastic service.
Ruby,"Dined on September 26, 2024",5,"The fare, service and flavors were all excellent. It was a tight squeeze but it’s New York, so hey 👍🏽"
James,"Dined on September 26, 2024",5,Excellent and imaginative flavor combinations with a well-paired wine list and gracious service.
Lara,"Dined on September 25, 2024",5,Bryant was the best! The food was epic and I’m so happy
Bob,"Dined on September 23, 2024",5,"The food could not be better and our server, Isaias, added to our enjoyment of the dining experience."
Brian,"Dined on September 22, 2024",5,The goat was delicious !. The wine was excellent as was James . First time we were disappointed by a fish at CM but plan to be back !
Denise,"Dined on September 20, 2024",5,We come every year on our anniversary - amazing as always
Richard,"Dined on September 20, 2024",5,"I very much enjoyed our visit to Casa Mono. I especially liked the fact that many of my favorite dishes to find anywhere, are all available there and deliciously presented. I love Bone Marrow, Razor Vlams, Foie Gras, Duck and Crème Brûlée. To find them all at one place is a real treat!"
Geraldine,"Dined on September 19, 2024",4,"There’s a reason Casa Mono has been around so long!  The food is excellent, the service is attentive without being overbearing and there’s something for everyone.  Some standouts were the pulpo, the pork meatballs & the duck breast.  The server made great drink recommendations - with & without alcohol - (the phony Negroni was great!). Desserts were also good - the bread pudding was a favorite."
Niccolo,"Dined on September 18, 2024",5,I've been coming here 6 times a year for 8 years. that's all I have to say.
Sandra,"Dined on September 18, 2024",5,"A cozy, authentic Spanish restaurant.  The menu is exciting, expertly prepared with high quality products.  Our favorites included the pork Sobrasada with quince & honey and the scallops with Serrano pepper green curry & minted cashews.   Leave room for dessert!  The burnt vanilla custard with battered deep fried bay leaves is outstanding."
megan,"Dined on September 16, 2024",5,"Every single dish did not disappint, do flavorful ans unique!"
Evan,"Dined on September 15, 2024",5,Always a great experience sitting at the counter. Fun evening. Great wine choice by James.
Danielle,"Dined on September 15, 2024",5,"Food was great, but the wine the some recommended elevated the whole experience"
John,"Dined on September 14, 2024",5,This is my fourth or fifth time dining here and it never disappoints. Charming neighborhood gem with amazingly prepared Tapas and an excellent Spanish wine list to accompany the courses. Our server Darwin was outstanding with excellent knowledge of the food and wines and a fun engaging personality.
Byron,"Dined on September 8, 2024",5,Casa Mono has not lost its magic touch. The small kitchen prepares deservedly Michelin star plates to a packed house as effortlessly as the National Symphony Orchestra delivers the most passionate and stirring of melodies. We’ve never been disappointed and look forward to visiting when in Bew York.
Duncan,"Dined on September 7, 2024",5,Always hits the spot been going for 15 years plus amazing food and vibe this visit was no exception. Delicious
Jeanne,"Dined on September 6, 2024",5,"Casa Mono is always an experience, not just a meal.  We sat at the counter to have the opportunity to watch the kitchen staff do their magic.  The dishes were inventive and flavorful.  The wine list was magnificent and there were plenty of great options to choose from. Though our waiter was experienced, he didn't really explain any of the dishes and I felt pressured to make decisions without any assistance.  I ordered wine and he never came over to fill my wine glass when it was near empty.  At the end of the night I was having a sherry digestif and we planned to send the rest to the back because it was more than I could drink and he came over and dumped its contents into my glass.  It felt more like a push to get out the door.  We've been coming to Casa Mono since it opened but don't live in NYC anymore and hadn't been in years.  The overall feeling is still a very special and delicious experience, but it feels more like a machine and not a sweet neighborhood delight, at least compared to the past.  I would still return because of the food and the ambiance.  Overall, a great restaurant!"
Suzanne,"Dined on September 6, 2024",2,Requested outdoor seating and was placed very far outside next to a tree where dogs passed and used as a toilet.  The food was very disappointing.
Benjamin,"Dined on September 2, 2024",5,Great experience. took my wife for her bd. it was awesome
Robert,"Dined on September 1, 2024",2,"Honestly, I would avoid this place. The plates were advertised as small, but they were exceptionally, insultingly small. We ordered oxtail for example and there was such a small quantity of meat that we literally laughed. The beers cost 8 dollars and were only half filled. While the service was fine, the food was entirely too expensive and not at all authentic. I lived in Spain for years and I went with a Spaniard and we were all together unconvinced by this so-called “Spanish” food. The octopus was also more similar to what we would call in Spain chipirones. If you’re looking for authentic Spanish food in nyc I would definitely try another place."
Evan,"Dined on September 1, 2024",5,Great time sitting at the counter. Razor clams are always a must!
Marc,"Dined on August 31, 2024",5,Outstanding meal and excellent service. Great wine recommendation from sommelier.
ChristyB,"Dined on August 31, 2024",5,"Casa Mono was recommended to me by two different former Manhattan residents. Boy, it did not disappoint! We’ve had some fine meals in the US and Europe and this was in my husband’s Top 10 of all time. The service, to the food, to the vibe of the place - we loved everything about our experience. Our favorite dishes were the Pan can Tomate, Jamón Iberico, Fluke Crudo, and special duck liver pate."
Drlopezmdfacc,"Dined on August 30, 2024",5,"Must visit for elevated Spanish tapas experience. Pan de tomate, pulpo, jamon iberico, all well executed. Great wine list."
Andrew,"Dined on August 28, 2024",5,"What an incredibly special meal! We ordered heavy and every bite was delicious, nothing disappointed. Would highly recommend to anyone looking for a fun and truly delectable meal."
Morg,"Dined on August 27, 2024",5,Lovely dining experience. Food and ambience was amazing!
Rafa,"Dined on August 25, 2024",4,Great Spanish tapas with a modern twist. Order the fluke crudo and definitely the scallops!
Kevin,"Dined on August 25, 2024",5,"Overall, great food and great value. A bit crowded, but not to the point it was not comfortable. My girlfriend and I celebrated her bday there, and all in all it was a positive experience. Service at times seemed rush with how they try to clear plates that you might want to hold on to for dipping bread into sauces, and would be nice if bottled cokes were chilled and not room temp (I do not appreciate a diluted coke over ice especially over a ‘heavy entree’), but all minor. Where we sat had a few flies or gnats that would linger around table. One managed to land in my drink and drown, but if you overlook that experience pretty good. Would recommend and would go back!"
Scott,"Dined on August 24, 2024",5,"I love this place - it’s an oldie but a goldie. Went there to celebrate my friend’s birthday - amazing food. Really friendly and professional staff - if I could afford it, I would go here much more often. Highly recommended:)"
lucia,"Dined on August 24, 2024",3,"As always, Casa Mono doesn't manage the tables correctly. Tables are always small and cramped.  I received a text message that my table was ready 15 minutes prior to my reservation and then when we were finishing our wine, the manager came over and said they needed the table.  You always feel rushed.  Years ago, if the table was needed, management would welcome people to the bar to buy guests a drink or allow to finish your bottle at the bar.  It's never a pleasant setting.  The food is always amazing and consistent for the past 20 years.  I also found it disappointing that the Sommelier didn't even know Italian Wine Merchants, which I believe the original investors (including Joe Biastanich) in Casa Mono and Babbo invested in.  The waiter, Darwin, was personable and great. The razor clams which weren't available my last visit, were as delicious and unique as always.  Too bad the seppie are no longer offered on the menu.  The skirt steak, excellent as always.  Duck breast was cooked to perfection and very tender."
Ben,"Dined on August 22, 2024",5,Food is terrific. An incredible experience. Can’t speak highly enough. Servers rushed us which was a surprise
OpenTable Diner,"Dined on August 21, 2024",5,Couldn’t have asked for a memorable dining experience. Everyone from front to the back of house made it a day we will never forget. Compliments to the chefs and to all of casa mono!! Counting down the days to our next visit!!
David,"Dined on August 21, 2024",5,"Phenomenal meal. Our waiter was very helpful answering questions we had about the menu. We had 5 dishes and each was amazing. The highlights for us were the skirt steak, duck egg, crispy pig ears, and burrata. So pretty much everything we ate. Great atmosphere and service, and reasonably priced, you can spend a lot or a little depending on what you're looking for. Highly recommend."
OpenTable Diner,"Dined on August 17, 2024",5,Truly loved this restaurant!! Counter seating was the best and the food was unreal. Absolutely adored this spot
LuisG,"Dined on August 16, 2024",5,"What an outstanding experience! Food, environment and service were taking to another level! Amazing job Benoit! You deserve a 🌟"
Sebastian,"Dined on August 16, 2024",5,Great food and a generous helping of wine per glass!
Selina,"Dined on August 16, 2024",4,"Second time here and more familiar with the menu so we’re happier with our choices.  Restaurant is extremely pestering with being on time with email reminders and text msgs.  Description of menu items needs to be better explained for those who are not familiar with Spanish food terms, ingredients and spices.  Staff likes to get order all at once so not easy for first timer and only a little better for second timer.  Difficult to gauge what order the food will be served.  Service is adequate and only had to ask for more bread once.  Once food is all on the table, staff is constantly coming around to pour wine and to check if dishes can be taken away, definitely feel like being rushed.  Since this is our second time, we are not shy at telling the staff NO.  The restaurant was quite full so the noise level was not good.  We skipped dessert because we felt being rushed and gave back the table within an hour of the reservation."
Conrad,"Dined on August 15, 2024",5,"Table location problem was immediately resolved.  Manager Danielle Pappas made absolutely certain that we were well served, and that our food orders were promptly cooked and served.  Danielle patiently explained the nuances in the dishes on the menu.  We will return!"
Onute,"Dined on August 14, 2024",5,"*Sensational blend of unexpected, but stellar flavors in every dish. Each one was a marvel: a virtual taste explosion of pure delight! We were 2 diners: ordered 5 dishes. The only negative was wanting to try more menu items despite being fully satiated. *Service was ideal: truly attentive (not intrusive), friendly, meticulous. *Sommelier: made an ideal wine suggestion (after several clear questions to make his recommendation). *Noise level was high, but (to us) indicated everyone’s revelry @ enjoying such unusual excellence in every combination. Fun vibe.  Perfect: We’ll return frequently & very often!"
PaulS,"Dined on August 12, 2024",5,"Smart, tasty and quite innovative food in a Spanish brasserie style setting. Fun watching the open kitchen from bar seats, but overall can get noisy. The originality and quality of the food make it well worth a repeat visit"
Michele,"Dined on August 11, 2024",5,Enjoyed a lovely lunch outdoors. As always!!! Started with the Casa Mono salad. So refreshing!!! Then had a small filet of fluke atop abed of black rice and a lovely green and creamy sauce. Finally a delicious pork belly and some delicious bone marrow… Yumm! Good thing we planned a LONG WALK along the Rast River after that beautiful and very TASTY lunch!!!
Jacob,"Dined on August 11, 2024",1,Terrible experience here. Had to leave the restaurant because server would not even attempt to accommodate a gluten allergy. Basically said you can eat the salads. I have never heard of not being able to eat the meat/seafood at a restaurant due to a gluten allergy.
Daniel,"Dined on August 10, 2024",5,"An awesome experience from start to finish.  Over the past twenty years, everything has remained delightful and delicious.  Thank you."
Ian,"Dined on August 8, 2024",4,"Host sat us at a two-top next the only other parties in the place, also two-tops, when the rest of the small restaurant, consisting of three 4-tops, was empty on a slow weekday afternoon at 2pm.  When asked if we could be seated at one of the more comfortable tables, host said she wasn’t allowed.  After the meal, I suggested to the floor manager that she should give away the 4s when the place was empty, it’s just unfriendly not to. She agreed, expressing surprise that we were denied after asking.  Also the waiter upsold us on the wine, but the bottle (a red) was quite chilled when he brought it over so I declined, in favor a a more modest wine that he had a room temperature.  Not a fan of chilled red wine. He seemed a bit annoyed.  Food and food service were lovely."
Lynn,"Dined on August 5, 2024",5,"We went on a whim because we live nearby. We were so pleasantly surprised by the extraordinary food and dining experience. The dishes were all gorgeous and the staff was very competent and pleasant. I can’t recommend Casa Mono enough, and I can’t wait to go back."
IntolerantDiner,"Dined on August 5, 2024",5,Absolutely delicious! Excellent service for both food and great advice from the sommelier. We had black rice with fluke and an amazing green sauce; then we had sautéed mushrooms and garlic which we always have and it was fabulous. Then we had foi gras with à honey sauce from Jerez and we had the lamb belly; also yummy. We finished with creamy pineapple sorbet. We love Casa Mono and will return next time we are in the big Apple.
OpenTable Diner,"Dined on August 5, 2024",5,"Phenomenal food and excellent service. Recommend going with a large group to try most dishes on the menu - all are incredible. While not cheap, this is great value for money and worth every penny."
Thomas,"Dined on August 4, 2024",5,"Casa Mono never fails to impress on every level; friendly, knowledgeable service, charming ambiance, and truly brilliant food and wine."
Jessica,"Dined on August 4, 2024",5,Absolutely amazing food and fantastic service!!!! Our reservation was running behind due to a rain storm but we were sat at the sister wine bar and given great care & a free appetizer until our table was ready
HKDiner,"Dined on August 4, 2024",5,"Pan con tomate, burrata, crudo, duck, sausage w honey, creme Catalan, and chocolate were amazing. Wine, sherry fantastic.  Staff are great.  Was the  pulpo supposed  to be crispy and flat?  Only miss of the night.  Would return in a second!!"
natalie,"Dined on August 3, 2024",5,"Warm reception, always. Fantastic as always!! Service great, food great! We love everything about this restaurant."
Daisy,"Dined on August 1, 2024",5,"Really fancy and nice tapas, had a chef's experience seating and watching them cooking is very enjoyable"
OpenTable Diner,"Dined on July 31, 2024",5,"I have never had an unpleasant experience here, and every dish I have eaten is extraordinary. The food is exceptional, the service is exceptional, the ambience is exceptional."
OpenTable Diner,"Dined on July 30, 2024",5,Very good restaurant with exciting food small cosy place
ArielD,"Dined on July 30, 2024",4,"Service was fantastic, waitstaff were friendly and always check on us if we need anything.  Our favorite was foie gras, duck breast and bread pudding with ice cream !"
OpenTable Diner,"Dined on July 28, 2024",1,"Food wasn’t great and it was very upsetting. Additionally, the wine that was recommended was not at all what we had described we wanted"
OpenTable Diner,"Dined on July 28, 2024",3,"The decor at Casa Mono exuded a cozy ambiance, a pleasant environment for diners. The service was good with attentive and patient waitstaff. Our orders included pork belly, razor clams, Jamón Ibérico and others. The pork belly, while deep-fried, had a gamey aftertaste, necessitating the use of additional sauce to mask the flavor. The razor clams still contained residual grains of sand, which compromised their springy texture.The standout dish was the pig ear. The fried pork ear was immersed in a slightly sour sauce, and the addition of yellow peaches enriched overall sweetness of the dish."
OpenTable Diner,"Dined on July 27, 2024",3,"Service and ambiance are great. Skirt steak was overcooked, no flavor. Duck breast and sobreasada are the best."
OpenTable Diner,"Dined on July 26, 2024",4,"Good food, good service but the price was extremely expensive."
LillianA,"Dined on July 25, 2024",5,"Favorite restaurant in NYC! Never dissapoints, highly recommend it."
OpenTable Diner,"Dined on July 24, 2024",2,"Food is ok, but not worth it. Service is fair. Place is super loud and vibe is ok"
OpenTable Diner,"Dined on July 22, 2024",5,Excellent food. Tapas were very inventive. I will definitely return
OpenTable Diner,"Dined on July 21, 2024",3,Average and overpriced food. Took over an hour to get our order and that was at 2pm when it wasn't that busy.
OpenTable Diner,"Dined on July 21, 2024",5,Food and service are always exceptional. Key items to not miss: - razor clams - eggs and uni - oxtails and peppers
Megablito,"Dined on July 20, 2024",3,"Food was average or just above average when compared to a good tapas place in Spain (Madrid, Salamanca or Barcelona). Had a total of 12 orders, so we tried almost all popular tapas. Razor clams, jamon iberico de bellota, fluke ceviche. The bread was not freshly baked (chewy). Will not go back unfortunately. Michelin star wrongly granted."
Anthony,"Dined on July 19, 2024",5,"Elegant restaurant- great food, very good service. Wonderful experience."
Kinka,"Dined on July 19, 2024",5,A great service great ambience in the obviously great food you’re going to see on your table the orders you placed will not look like anything you really eaten before and that you were super super food. He really enjoyed tasting all the different dishes.
OpenTable Diner,"Dined on July 18, 2024",5,"Amazing food. Came with 4 guests had about 8 plates, plenty of food. My favorite restaurant in the city hands down."
OpenTable Diner,"Dined on July 17, 2024",5,Every bite is memorable. You can’t go wrong at casa mono!
ali39,"Dined on July 16, 2024",5,"Everything we had was delicious, and the service was excellent. Highly recommend"
OpenTable Diner,"Dined on July 15, 2024",1,"The pulpo was not a pulpo but squids also unsalted and flavorless, the black rice was extremely oily and the only flavor that you could taste was cilantro; the skirt steak was cold and rubbery the only I think we liked was the trio of sorbets. Definitely not a michelin star restaurant, disappointed our expectations."
OpenTable Diner,"Dined on July 13, 2024",5,Darwin is the best server we have ever had in NY. Please give him a raise and promotion ASAP!!!!
OpenTable Diner,"Dined on July 12, 2024",5,Outstanding food quality and originality. Great service and friendly staff.
OpenTable Diner,"Dined on July 10, 2024",5,"Everything, Incredible! The food, omg!, the ambient, the service."
OpenTable Diner,"Dined on July 9, 2024",5,Great food and service! Can’t wait to come back! Ps: loved the pouring amount of a glass of wine
OpenTable Diner,"Dined on July 8, 2024",4,"Food was good, unfortunately they were sold out of the main dish we came for which was the razor clam. As well, it was very warm inside, only slightly better than what it was outside and it was very humid outside. Being that the restaurant is very small, they need better cooling."
dlover,"Dined on July 8, 2024",5,If you like to enjoy several plates with small group of people it is perfect place. Food is amazing and wine options are good too
OpenTable Diner,"Dined on July 7, 2024",5,"The restaurant was loud. Other than that, the service was intimate and very attentive. The food was fresh and the flavors exploded in your mouth. All in all, a great spot. I will return the next time I’m in New York."
MisterStars,"Dined on July 7, 2024",5,"Casa Mono is a very special place with amazing people, great food, and an amazing wine list."
OpenTable Diner,"Dined on July 4, 2024",2,"Overrated and very poor services, waiter isn’t nice very impatient the table was dripping with AC water."
OpenTable Diner,"Dined on July 3, 2024",2,"We have high expectations upon doing there for dinner, but we're pretty disappointed with the food. Overall, the food was very salty and definitely nothing to write home about. We ordered 11 items off the menu and I would say only three of them were reasonably good."
OpenTable Diner,"Dined on July 3, 2024",5,"Wonderful sommelier! Tapas were very good, especially razor clams."
OpenTable Diner,"Dined on July 1, 2024",5,"pig ears, membrillo, sweet tomatoes & cheese, sidra. what a place.... you will fall in love with"
RodneyH,"Dined on June 30, 2024",5,Loved the overall dining experience. Food flavors were outstanding
OpenTable Diner,"Dined on June 30, 2024",2,"I'm SHOCKED that they have a Michelin star! The fluke crudo was marvelous, but every other dish disappointed. Burrata and octopus with no flavor (pea pesto bland, fennel and grapefruit bland). Lamb was soft and well-cooked but lacked any flavor. Skirt steak was fine but unremarkable. Razor clams were tasty but that's because butter and garlic are tasty. Not worth it. The bone marrow, however, was shockingly bad. Bone marrow is inherently unctuous rich and flavorful, but this was lumpy, oily, and tasteless except for the crema and fish roe which masked the flavorlessness but added an unpleasantly dissonant taste. Even the toast triangles were over-buttered, as if that would salvage them.  WORSE, service was bad. They didn't come enough to even get us to order more beer/wine! Their wine recommendation felt random and tasted Meh. There were large gaps with no food. No refilling of water or bread offered. Finally, the bathroom was just terrible. Tiny, with no room for the inevitable line of people, but inside it was repulsive. Wet paper towels piled on the garbage can and wet on the floor. Toilet that was likely clean but not sparkling enough to inspire confidence. We sat outside and had a lovely street view experience (despite the visiting rat!), but inside it was tight, hot, and loud. Some might have liked the inside, actually, but probably no one would give the bathroom a pass. The menu, be forewarned, is only in Spanish. Fair enough (though imagine that at a Chinese or Indian restaurant), but the table next to us had several foreign visitors and it caused confusion and embarrassment. The server answered questions but not with enough energy or clarity to help--it was minimal. I'm really just amazed that this place has been open so long, let alone that it has a Michelin star."
OpenTable Diner,"Dined on June 30, 2024",5,Sat on the sidewalk. Great experience. Food was excellent and the Fois Gras may be the best dish we have ever had.
